dish_name,Total_Revenue,Total_Profit,Total_Quantity,Average_Profit_Per_Item
Tomahawk,22796.65,10271.89,647,16.20023178807947
Sushi,10995.33,4934.85,612,8.070334448160535
Pizza,8703.36,3951.39,622,6.351050955414013
Carbonara,7707.19,3422.17,596,5.738873720136519
Burger,6549.93,2893.46,546,5.293857677902622
Salad,4967.87,2229.64,552,4.0295289855072465
Spring Rolls,4671.94,2072.1,583,3.581006711409396
Ice Cream,3721.05,1662.74,531,3.1276923076923078
Coffee,2355.68,1041.13,593,1.7473611111111111
Soda,1722.45,789.28,572,1.3710416666666667
