dish_name,Total_Revenue,Total_Profit,Total_Quantity,Average_Profit_Per_Item
Tomahawk,84405.64,38431.75,2402,16.021050384286937
Sushi,43771.71,19635.57,2424,8.082927439532945
Pizza,33208.1,15058.31,2371,6.342493723849373
Carbonara,31217.77,13962.14,2402,5.809366666666667
Burger,27847.91,12450.54,2326,5.364135534317985
Salad,22811.98,10190.31,2530,4.032689274447949
Spring Rolls,19880.67,8954.27,2482,3.6080944755804647
Ice Cream,16356.12,7358.76,2345,3.138344651952462
Coffee,9518.86,4275.86,2382,1.7864285714285713
Soda,6843.15,3084.34,2285,1.3502994011976048
