order_id,timestamp,dish_name,category,quantity,price,cost,server_id
1,2026-01-08 12:27:29.504025,Carbonara,Main,2,12.62,8.2,Diana
2,2026-02-08 20:31:56.771919,Sushi,Main,2,19.76,11.26,Bob
3,2026-01-04 21:46:00.397342,Soda,Drink,3,2.78,1.73,Bob
4,2026-01-10 13:32:02.084189,Salad,Appetizer,2,9.04,4.97,Alice
5,2025-12-17 10:18:52.735346,Carbonara,Main,1,13.5,7.21,Bob
6,2025-12-15 18:42:42.086638,Coffee,Drink,3,4.25,2.8,Charlie
7,2026-02-19 04:26:37.122595,Carbonara,Main,1,12.26,6.36,Charlie
8,2026-01-21 21:54:27.152372,Carbonara,Main,2,13.48,8.1,Alice
9,2025-12-19 04:18:01.691053,Soda,Drink,2,3.2,2.05,Bob
10,2026-03-01 20:47:32.839739,Carbonara,Main,2,13.62,8.57,Alice
11,2026-01-28 13:42:13.898424,Salad,Appetizer,5,8.15,4.6,Bob
12,2025-12-13 12:41:31.222925,Ice Cream,Dessert,2,6.33,3.77,Charlie
13,2025-12-30 12:21:59.432701,Sushi,Main,4,19.09,8.3,Alice
14,2025-12-30 19:56:13.626845,Tomahawk,Main,2,38.2,23.5,Charlie
15,2025-12-26 20:50:44.000195,Burger,Main,3,11.93,8.04,Charlie
16,2026-01-28 20:49:23.869829,Salad,Appetizer,1,8.33,3.79,Alice
17,2026-01-10 14:53:58.773775,Pizza,Main,2,13.05,8.12,Alice
18,2026-02-22 00:55:41.010646,Ice Cream,Dessert,2,7.2,3.67,Charlie
19,2026-01-31 15:17:25.548636,Soda,Drink,1,2.94,1.3,Diana
20,2026-03-03 19:26:08.351860,Pizza,Main,1,14.55,9.83,Charlie
21,2026-01-21 13:13:33.228647,Spring Rolls,Appetizer,1,7.32,3.21,Alice
22,2026-01-16 07:28:19.478743,Pizza,Main,1,13.28,7.83,Alice
23,2026-01-25 03:33:16.698390,Sushi,Main,3,18.5,8.34,Charlie
24,2026-01-06 20:53:40.426841,Burger,Main,1,12.27,7.57,Bob
25,2026-02-23 09:01:18.277873,Soda,Drink,1,3.04,1.65,Alice
26,2026-01-08 20:36:47.877766,Salad,Appetizer,2,8.99,3.77,Alice
27,2026-02-11 12:57:31.012313,Sushi,Main,5,18.06,12.18,Alice
28,2026-02-28 23:41:58.767811,Soda,Drink,1,3.08,1.82,Bob
29,2026-02-09 13:46:07.322982,Soda,Drink,2,2.89,1.74,Charlie
30,2026-01-17 13:56:19.355994,Tomahawk,Main,3,32.11,22.22,Alice
31,2025-12-10 23:31:34.524204,Spring Rolls,Appetizer,2,8.58,5.51,Alice
32,2025-12-17 20:40:39.202627,Burger,Main,1,10.87,7.28,Bob
33,2026-01-13 03:06:14.687508,Soda,Drink,1,3.08,1.53,Bob
34,2026-02-11 12:03:06.181765,Soda,Drink,3,3.15,2.07,Bob
35,2026-01-10 10:18:33.031990,Sushi,Main,3,19.19,10.86,Charlie
36,2026-03-03 20:22:09.805176,Spring Rolls,Appetizer,2,8.16,5.15,Charlie
37,2025-12-15 13:15:13.254656,Ice Cream,Dessert,3,7.15,3.87,Alice
38,2026-01-17 01:36:16.561387,Tomahawk,Main,1,38.12,24.78,Alice
39,2026-01-17 05:15:13.835876,Salad,Appetizer,3,8.81,4.67,Alice
40,2025-12-26 20:45:03.820757,Burger,Main,2,12.15,6.61,Alice
